lat,lon
-77.9371,146.822
-76.5749,-174.752
-81.57,152.391
-81.0936,149.76
-82.0085,154.784
-83.9435,165.401
-83.2222,-178.184
-79.6831,147.935
-77.4121,139.124
-83.7394,152.529
-83.8774,170.324
-83.2557,145.101
-76.6301,-174.179
-76.4453,-174.713
-76.7405,-173.869
-80.0791,-169.217
-80.2023,-169.227
-80.337,-166.802
-80.3133,-169.256
-82.1953,137.853
-82.1953,137.853
-82.6585,140.002
-78.0867,-171.993
-80.1803,168.078
-82.2742,-173.904
-76.967,-173.406
-80.795,-170.766
-77.0846,-174.483
-80.9935,-170.945
-77.507,-173.483
-77.7175,-173.058
-81.5409,-172.276
-81.3734,-171.656
-81.3998,-171.703
-83.7988,174.1
-81.6084,-172.579
-82.3834,-174.762
-80.1261,161.7
-82.3625,-174.805
-77.5993,-174.399
-81.0327,-172.169
-80.0947,-171.639
-78.519,-173.09
-82.7159,-177.077
-84.1392,160.032
-84.117,156.575
-78.3852,-173.489
-79.2482,-172.397
-79.0473,-172.599
-83.3797,141.726
-77.9457,-174.333
-79.2482,-172.397
-79.0473,-172.599
-83.8393,171.86
-78.1373,-174.106
-79.0527,-172.741
-83.2361,138.98
-78.8652,-173.685
-79.7298,-173.598
-74.0235,149.424
-79.1118,-172.325
-79.2041,-174.176
-74.9174,142.175
-79.0688,-172.746
-74.0598,149.404
-74.0569,149.181
-74.3326,146.356
-74.3276,146.562
-74.2545,147.286
-74.6587,143.948
-74.7713,143.093
-74.6868,143.661
-74.3502,146.325
-74.3661,146.305
-75.6269,138.297
-74.6523,143.927
-74.5818,144.407
-74.5838,144.389
-74.0677,149.757
-74.651,143.816
-77.7749,149.844
-75.0302,141.103
-74.3217,146.266
-78.079,147.663
-82.8416,-179.398
-82.8458,-179.457
-75.1375,139.911
-74.47,144.581
-75.4039,138.226
-80.6786,-175.959
-80.0696,176.224
-79.7322,-174.738
-79.724,-174.517
-79.5786,-174.89
-80.1311,-176.702
-79.9915,-174.726
-80.3454,175.562
-75.056,139.108
-79.4065,149.854
-78.7834,149.36
