lat,lon,eventNum,run,priority,theta
-77.4121,139.124,1341297,40,4,0.214757
-78.519,-173.09,1733916,43,4,0.173851
-79.1118,-172.325,2082743,44,4,-0.112492
-79.0688,-172.746,2110564,44,3,-0.112492
-74.0598,149.404,2115897,44,4,0.79767
-74.0569,149.181,2123652,44,3,0.971521
-74.3326,146.356,2125628,44,4,0.807897
-74.3276,146.562,2132981,44,3,0.807897
-74.2545,147.286,2141804,44,4,0.449968
-74.6587,143.948,2156380,44,3,0.56246
-74.7713,143.093,2164423,44,2,1.01243
-74.6868,143.661,2164908,44,2,0.56246
-74.3502,146.325,2199631,44,3,0.705631
-74.3661,146.305,2207630,44,2,0.327249
-75.6269,138.297,2210402,44,2,0.664725
-74.6523,143.927,2212079,44,4,0.715858
-74.5818,144.407,2217525,44,3,0.0102265
-74.5838,144.389,2218248,44,2,0.317023
-74.651,143.816,2241933,44,4,0.102265
-77.7749,149.844,2266039,44,3,-0.224984
-74.3217,146.266,2352898,44,3,0.685178
-78.079,147.663,2358912,44,4,-0.214757
-75.1375,139.911,2404719,45,4,0.674952
-74.47,144.581,2430889,45,2,0.102265
-75.4039,138.226,2436538,45,4,0.132945
-80.6786,-175.959,2502017,45,3,-0.0409062
-80.0696,176.224,2530461,45,4,-0.122718
-79.7322,-174.738,2530462,45,4,-0.112492
-79.724,-174.517,2539404,45,4,-0.112492
-79.5786,-174.89,2555109,45,1,-0.112492
-80.1311,-176.702,2600637,46,4,-0.0818123
-79.9915,-174.726,2601385,46,3,-0.112492
-80.3454,175.562,2608364,46,4,-0.122718
-81.26,179.892,3084493,47,2,-0.0920388
-80.3051,179.851,3073094,48,4,0.0102265
-80.129,179.458,3105149,48,4,-0.102265
-80.3784,-178.339,3107491,48,3,-0.112492
-80.0209,172.111,3107967,48,4,-0.122718
-80.1147,179.448,3107969,48,3,-0.102265
-80.1332,179.462,3108127,48,3,-0.102265
-80.0934,179.432,3108242,48,2,-0.102265
-80.0319,172.108,3108528,48,2,-0.122718
-80.0255,172.109,3108575,48,3,-0.122718
-80.2479,172.055,3108963,48,2,-0.122718
-80.1105,178.253,3221934,50,2,-0.0613592
-80.1475,170.86,3230715,50,2,-0.122718
-80.0781,167.182,3231145,50,2,-0.132945
-80.0279,164.791,3231289,50,3,-0.143172
-80.0957,170.865,3231341,50,4,-0.122718
-80.0881,-179.976,3231345,50,4,-0.112492
-80.2211,170.832,3231352,50,4,-0.122718
-80.0851,167.176,3231365,50,4,-0.132945
-80.1096,170.862,3231510,50,3,-0.122718
-80.062,170.867,3231782,50,3,-0.122718
-80.141,177.995,3247789,50,4,-0.0818123
-80.0541,177.925,3248357,50,2,-0.0818123
-80.1803,178.014,3248590,50,4,-0.0920388
-80.4175,178.141,3248731,50,3,-0.0613592
-80.3274,178.098,3248891,50,2,-0.0920388
-80.3684,178.116,3249010,50,3,-0.0920388
-80.0077,164.51,3261973,50,3,-0.143172
-80.1119,177.32,3321267,50,4,-0.0306796
-80.2828,177.341,3329335,50,4,-0.0613592
-80.122,177.225,3331356,50,4,-0.0818123
-80.1187,177.222,3331423,50,4,-0.0613592
-80.0503,177.17,3331503,50,3,-0.0613592
-80.1122,177.217,3331581,50,4,-0.0818123
-80.0438,177.164,3331603,50,3,-0.0613592
-80.0113,177.138,3331651,50,2,-0.0511327
-80.0438,177.164,3331660,50,2,-0.0613592
-80.0374,177.158,3331752,50,4,-0.0613592
-80.1025,177.208,3331786,50,4,-0.0409062
-80.0309,177.151,3331891,50,3,-0.0613592
-80.096,177.202,3331923,50,3,-0.0613592
-80.096,177.202,3331940,50,3,-0.0715858
-80.0703,177.096,3338608,50,2,-0.0920388
-80.1614,177.11,3341720,50,4,-0.102265
-80.2031,177.055,3349631,50,4,-0.102265
-80.0447,176.891,3356429,50,4,-0.0920388
-80.0122,176.865,3356444,50,2,-0.102265
-80.3052,177.063,3356518,50,3,-0.0920388
-80.0818,178.817,3356576,50,3,-0.112492
-80.0748,176.912,3356718,50,3,-0.102265
-80.0417,176.885,3356752,50,3,-0.102265
-80.0092,176.859,3356766,50,3,-0.102265
-80.0411,176.884,3356789,50,2,-0.102265
-80.1135,178.848,3356790,50,2,-0.112492
-80.0411,176.884,3356830,50,3,-0.102265
-80.073,176.908,3356902,50,3,-0.102265
-80.21,169.609,3356956,50,4,-0.122718
-80.0255,178.743,3357490,50,3,-0.112492
-80.2486,177.019,3357567,50,3,-0.0920388
-80.227,178.958,3357604,50,3,-0.112492
-80.1581,178.889,3357607,50,2,-0.112492
-80.3615,179.079,3357658,50,2,-0.112492
-80.0471,176.879,3357663,50,2,-0.102265
-80.1886,178.919,3357665,50,3,-0.112492
-80.2576,178.986,3357670,50,2,-0.112492
-80.2666,169.578,3357680,50,4,-0.122718
-80.1496,178.871,3358399,50,4,-0.112492
-80.1714,176.95,3359498,50,3,-0.0920388
-80.0058,178.683,3360719,50,4,-0.112492
-80.0905,176.878,3360902,50,4,-0.102265
-80.0742,169.604,3360928,50,4,-0.122718
-80.0905,176.878,3360943,50,3,-0.102265
-80.5781,179.204,3360975,50,4,-0.112492
-80.0591,178.74,3360993,50,3,-0.112492
-80.1964,178.889,3360994,50,4,-0.112492
-80.0185,169.609,3361027,50,3,-0.122718
-80.1485,176.918,3361058,50,4,-0.102265
-80.3738,177.046,3361150,50,4,-0.102265
-80.1087,176.888,3361195,50,3,-0.0920388
-80.044,178.72,3361251,50,4,-0.112492
-80.1051,176.885,3361266,50,3,-0.102265
-80.1377,176.908,3361276,50,4,-0.0920388
-80.069,176.857,3361295,50,4,-0.102265
-80.2647,176.988,3361299,50,4,-0.102265
-80.0301,176.824,3361504,50,2,-0.0920388
-80.1945,165.817,3361510,50,2,-0.132945
-80.1692,178.855,3361546,50,3,-0.112492
-80.0663,178.742,3361562,50,4,-0.112492
-80.0306,178.701,3361607,50,4,-0.112492
-80.2512,169.545,3361633,50,3,-0.122718
-80.0648,178.739,3361635,50,3,-0.112492
-80.0991,178.777,3361651,50,3,-0.112492
-80.091,176.869,3361666,50,2,-0.0920388
-80.1156,163.423,3361690,50,2,-0.143172
-80.1663,178.85,3361715,50,4,-0.112492
-80.0277,178.696,3361747,50,2,-0.112492
-80.0277,178.696,3361754,50,2,-0.112492
-80.0619,178.735,3361794,50,2,-0.112492
-80.199,169.564,3361796,50,2,-0.122718
-80.1208,176.89,3361827,50,4,-0.102265
-80.0263,178.694,3361852,50,2,-0.112492
-80.059,178.73,3361863,50,2,-0.112492
-80.059,178.73,3361866,50,3,-0.112492
-80.152,176.911,3361882,50,4,-0.0920388
-80.2219,169.554,3361884,50,2,-0.122718
-80.0933,178.767,3361890,50,4,-0.112492
-80.1194,176.888,3361894,50,3,-0.0920388
-80.2774,163.207,3361912,50,4,-0.143172
-80.059,178.73,3361916,50,4,-0.112492
-80.471,169.41,3361918,50,4,-0.122718
-80.2459,169.544,3361944,50,3,-0.122718
-80.0576,178.728,3361951,50,2,-0.112492
-80.0561,178.725,3362008,50,2,-0.112492
-80.42,169.447,3362012,50,4,-0.122718
-80.1247,178.8,3362036,50,2,-0.112492
-80.0827,176.859,3362046,50,3,-0.102265
-80.4938,169.391,3362060,50,2,-0.122718
-80.1232,178.797,3362072,50,4,-0.112492
-80.1152,176.883,3362088,50,2,-0.102265
-80.0546,178.723,3362098,50,3,-0.112492
-80.0821,169.55,3366347,50,2,-0.122718
-80.3546,169.447,3366411,50,3,-0.122718
-80.0681,169.544,3367218,50,2,-0.122718
-80.1215,165.821,3367256,50,4,-0.132945
-80.2645,169.485,3367311,50,2,-0.122718
-80.2267,169.497,3367737,50,3,-0.122718
-80.1341,178.763,3367746,50,4,-0.112492
-80.3757,178.995,3367747,50,2,-0.112492
-80.0669,165.854,3367780,50,2,-0.132945
-80.049,169.541,3367796,50,4,-0.122718
-80.4173,177.005,3367819,50,4,0
-80.0283,178.647,3367838,50,4,-0.112492
-80.2747,169.476,3367839,50,4,-0.122718
-80.2497,169.487,3367854,50,3,-0.122718
-80.0482,161.62,3367858,50,3,-0.153398
-80.2726,169.477,3367882,50,3,-0.122718
-80.097,169.533,3367893,50,3,-0.122718
-80.0217,169.543,3367915,50,3,-0.122718
-80.0447,169.54,3367939,50,3,-0.122718
-80.2454,169.488,3367956,50,4,-0.122718
-80.0196,169.543,3367972,50,4,-0.122718
-80.2182,169.498,3368024,50,3,-0.122718
-80.2412,169.488,3368072,50,3,-0.122718
-80.0154,169.542,3368126,50,4,-0.122718
-80.3414,169.44,3368134,50,3,-0.122718
-80.0562,165.857,3368162,50,3,-0.132945
-80.0132,169.541,3368163,50,2,-0.122718
-80.3393,169.44,3368178,50,4,-0.122718
-80.1889,169.507,3368190,50,4,-0.122718
-80.2391,169.488,3368198,50,1,-0.122718
-80.2641,169.478,3368205,50,4,-0.122718
-80.3121,169.454,3368212,50,3,-0.122718
-80.1617,169.514,3368220,50,4,-0.122718
-80.2119,169.498,3368221,50,3,-0.122718
-80.3372,169.441,3368227,50,2,-0.122718
-80.0864,169.532,3368258,50,2,-0.122718
-80.009,169.54,3368303,50,3,-0.122718
-80.1847,169.507,3368306,50,3,-0.122718
-80.0341,169.538,3368330,50,3,-0.122718
-80.0221,161.649,3368343,50,4,-0.153398
-80.2097,169.498,3368346,50,4,-0.122718
-80.0822,169.531,3368363,50,2,-0.122718
-80.0682,176.794,3368378,50,3,-0.102265
-80.0069,169.54,3368387,50,3,-0.122718
-80.2327,169.489,3368394,50,3,-0.122718
-80.0069,169.54,3368395,50,2,-0.122718
-80.0822,169.531,3368398,50,4,-0.122718
-80.2807,169.468,3368473,50,4,-0.122718
-80.049,165.859,3368507,50,4,-0.132945
-80.08,169.531,3368508,50,4,-0.122718
-80.1783,169.507,3368535,50,4,-0.122718
-80.3896,176.987,3368558,50,4,0.23521
-80.1532,169.514,3368567,50,4,-0.122718
-80.0772,169.53,3368584,50,3,-0.122718
-80.0019,169.538,3368586,50,2,-0.122718
-80.0019,169.538,3368610,50,4,-0.122718
-80.0772,169.53,3368627,50,4,-0.122718
-80.3886,176.986,3368628,50,4,0
-80.2026,169.498,3368636,50,4,-0.122718
-80.2277,169.489,3368642,50,3,-0.122718
-80.0262,169.536,3368659,50,3,-0.122718
-80.252,169.479,3368663,50,4,-0.122718
-80.2269,169.489,3368670,50,3,-0.122718
-80.1343,178.757,3368671,50,3,-0.112492
-80.2269,169.489,3368678,50,3,-0.122718
-80.0011,169.538,3368682,50,3,-0.122718
-80.017,161.652,3368686,50,4,-0.153398
-80.0262,169.536,3368699,50,4,-0.122718
-80.1353,163.333,3368721,50,3,-0.143172
-80.0329,161.631,3368755,50,4,-0.153398
-80.2262,169.488,3368779,50,3,-0.122718
-80.0255,169.535,3368786,50,2,-0.122718
-80.0598,176.785,3368790,50,2,-0.102265
-80.1753,169.505,3368818,50,4,-0.122718
-80.0749,169.529,3368820,50,4,-0.122718
-80.2003,169.497,3368847,50,4,-0.122718
-80.108,165.816,3368864,50,3,-0.132945
-80.0239,169.534,3368930,50,2,-0.122718
-80.1496,163.307,3369611,50,4,-0.143172
-80.0207,169.527,3369617,50,3,-0.122718
-80.3217,169.436,3369625,50,3,-0.122718
-80.0792,169.512,3370453,50,3,-0.122718
-80.2317,169.468,3370628,50,2,-0.122718
-80.05,165.837,3370632,50,3,-0.132945
-80.0812,169.51,3370656,50,2,-0.122718
-80.031,169.516,3370659,50,2,-0.122718
-80.0087,169.516,3370863,50,3,-0.122718
-80.0706,176.774,3370870,50,3,-0.102265
-80.2417,165.683,3370871,50,3,-0.132945
-80.1603,169.489,3370957,50,4,-0.122718
-80.0389,161.602,3370970,50,4,-0.153398
-80.0523,165.806,3373486,50,2,-0.132945
-80.1343,176.791,3373572,50,3,-0.102265
-80.0326,169.486,3373575,50,4,-0.122718
-80.0326,169.486,3373633,50,3,-0.122718
-80.0179,169.479,3374394,50,4,-0.122718
-80.0668,169.473,3374468,50,4,-0.122718
-80.0681,169.473,3374407,50,3,-0.122718
-80.2437,169.424,3374422,50,4,-0.122718
-80.0152,169.478,3374514,50,3,-0.122718
-80.0168,163.398,3374517,50,2,-0.143172
-80.1909,169.442,3374522,50,3,-0.122718
-80.216,169.434,3374526,50,4,-0.122718
-80.0139,169.477,3374562,50,3,-0.122718
-80.0641,169.472,3374566,50,3,-0.122718
-80.1895,169.442,3374567,50,3,-0.122718
-80.3149,169.389,3374571,50,4,-0.122718
-80.0449,176.712,3374623,50,3,-0.102265
-80.0641,169.472,3374627,50,4,-0.122718
-80.1882,169.442,3374643,50,4,-0.122718
-80.1882,169.442,3374647,50,3,-0.122718
-80.1882,169.442,3374654,50,3,-0.122718
-80.2133,169.433,3374663,50,2,-0.122718
-80.1869,169.441,3374757,50,4,-0.122718
-80.0099,169.475,3374778,50,3,-0.122718
-80.3536,178.905,3374783,50,2,-0.112492
-80.2607,169.412,3374793,50,3,-0.122718
-80.0601,169.47,3374818,50,3,-0.122718
-80.2106,169.433,3374820,50,2,-0.122718
-80.0321,165.805,3374823,50,4,-0.132945
-80.2106,169.433,3374827,50,2,-0.122718
-80.0099,169.475,3374833,50,4,-0.122718
-80.0587,169.469,3374899,50,3,-0.122718
-80.1842,169.441,3374900,50,3,-0.122718
-80.1828,169.44,3374916,50,3,-0.122718
-80.1828,169.44,3374931,50,4,-0.122718
-80.2079,169.432,3374957,50,4,-0.122718
-80.3628,176.908,3374972,50,4,0
-80.052,169.466,3375191,50,3,-0.122718
-80.0578,178.592,3376163,50,4,-0.112492
-80.2961,169.382,3376171,50,4,-0.122718
-80.0304,176.671,3377266,50,3,-0.102265
-80.3437,178.866,3377279,50,2,-0.112492
-80.1774,169.405,3378558,50,3,-0.122718
-80.0464,165.758,3378567,50,3,-0.132945
-80.1699,178.689,3378574,50,4,-0.112492
-80.308,178.821,3378578,50,4,-0.112492
-80.0464,165.758,3378582,50,3,-0.132945
