lat,lon,EventNumber
-77.4121,139.124,1341297
-78.519,-173.09,1733916
-79.1118,-172.325,2082743
-79.0688,-172.746,2110564
-74.0598,149.404,2115897
-74.0569,149.181,2123652
-74.3326,146.356,2125628
-74.3276,146.562,2132981
-74.2545,147.286,2141804
-74.6587,143.948,2156380
-74.7713,143.093,2164423
-74.6868,143.661,2164908
-74.3502,146.325,2199631
-74.3661,146.305,2207630
-75.6269,138.297,2210402
-74.6523,143.927,2212079
-74.5818,144.407,2217525
-74.5838,144.389,2218248
-74.651,143.816,2241933
-77.7749,149.844,2266039
-74.3217,146.266,2352898
-78.079,147.663,2358912
-75.1375,139.911,2404719
-74.47,144.581,2430889
-75.4039,138.226,2436538
-80.6786,-175.959,2502017
-80.0696,176.224,2530461
-79.7322,-174.738,2530462
-79.724,-174.517,2539404
-79.5786,-174.89,2555109
-80.1311,-176.702,2600637
-79.9915,-174.726,2601385
-80.3454,175.562,2608364
-81.26,179.892,3084493
-80.3051,179.851,3073094
-80.129,179.458,3105149
-80.3784,-178.339,3107491
-80.0209,172.111,3107967
-80.1147,179.448,3107969
-80.1332,179.462,3108127
-80.0934,179.432,3108242
-80.0319,172.108,3108528
-80.0255,172.109,3108575
-80.2479,172.055,3108963
-80.1105,178.253,3221934
-80.1475,170.86,3230715
-80.0781,167.182,3231145
-80.0279,164.791,3231289
-80.0957,170.865,3231341
-80.0881,-179.976,3231345
-80.2211,170.832,3231352
-80.0851,167.176,3231365
-80.1096,170.862,3231510
-80.062,170.867,3231782
-80.141,177.995,3247789
-80.0541,177.925,3248357
-80.1803,178.014,3248590
-80.4175,178.141,3248731
-80.3274,178.098,3248891
-80.3684,178.116,3249010
-80.0077,164.51,3261973
-80.1119,177.32,3321267
-80.2828,177.341,3329335
-80.122,177.225,3331356
-80.1187,177.222,3331423
-80.0503,177.17,3331503
-80.1122,177.217,3331581
-80.0438,177.164,3331603
-80.0113,177.138,3331651
-80.0438,177.164,3331660
-80.0374,177.158,3331752
-80.1025,177.208,3331786
-80.0309,177.151,3331891
-80.096,177.202,3331923
-80.096,177.202,3331940
-80.0703,177.096,3338608
-80.1614,177.11,3341720
-80.2031,177.055,3349631
-80.0447,176.891,3356429
-80.0122,176.865,3356444
-80.3052,177.063,3356518
-80.0818,178.817,3356576
-80.0748,176.912,3356718
-80.0417,176.885,3356752
-80.0092,176.859,3356766
