lat,lon,EventNumber
-78.21,-93.718,21052755
-76.9202,-101.211,21052924
-79.3169,-109.791,21058668
-78.3642,-94.065,21059866
-79.5121,-109.622,21061162
-79.2622,-109.822,21062198
-79.5269,-109.586,21062113
-79.2033,-109.848,21063039
-79.4674,-109.742,21096434
-79.6913,-109.479,21096891
-79.4274,-109.798,21103059
-79.4931,-109.707,21104508
-79.4276,-109.765,21108573
-79.529,-109.678,21109667
-79.4699,-109.767,21115741
-78.3063,-94.6338,21115997
-79.3975,-109.836,21116660
-78.2643,-94.7542,21118067
-78.3608,-94.5075,21119171
-79.4625,-109.773,21119857
-79.7321,-109.433,21123569
-79.4026,-109.831,21125114
-79.561,-109.653,21126855
-79.368,-109.863,21127088
-79.544,-109.714,21137517
-79.5998,-109.642,21138441
-79.257,-110.013,21141400
-79.2496,-110.02,21141473
-79.1532,-110.1,21142176
-79.1356,-110.113,21142278
-79.0681,-110.161,21142691
-79.1458,-110.13,21143957
-79.5168,-109.8,21144613
-79.2121,-110.092,21144614
-79.1568,-110.151,21145715
-79.2562,-110.098,21146769
-79.1453,-110.184,21146951
-79.2089,-110.162,21148065
-79.1226,-110.229,21148436
-79.261,-110.132,21148626
-79.1968,-110.2,21150250
-79.2423,-110.166,21150946
-79.2611,-110.146,21151900
-79.2412,-110.156,21152883
-79.5382,-109.859,21153780
-79.12,-110.242,21154692
-79.3083,-110.105,21155701
-79.2437,-110.162,21156004
-79.5031,-109.929,21157908
-79.778,-109.568,21158918
-79.31,-110.144,21160163
-79.4133,-110.047,21160185
-79.1469,-110.279,21160922
-79.4042,-110.08,21162371
-79.2035,-110.265,21163286
-81.3998,-106.314,21163684
-78.235,-95.2574,21164295
-79.4692,-110.028,21164356
-79.3623,-110.138,21164962
-78.4257,-96.453,21165736
-79.2792,-110.21,21166130
-78.0311,-93.6066,21166738
-78.2078,-94.7102,21167483
-79.1825,-110.279,21167568
-79.1995,-110.265,21168127
-78.2639,-95.2529,21169943
-78.19,-93.7018,21170663
-77.2861,-96.1212,21170985
-79.5209,-109.973,21171619
-81.4809,-105.803,21171620
-78.2034,-93.6845,21172355
-79.3371,-110.17,21172449
-79.1955,-104.436,21172830
-79.601,-109.879,21173048
-79.4183,-111.276,21174207
-79.4255,-110.082,21174937
-79.3426,-111.346,21176161
-79.303,-111.377,21176454
-78.2806,-94.0461,21177103
-78.1603,-93.8644,21177192
-79.4819,-110.096,21178727
-78.2624,-93.5985,21179464
-78.1919,-94.3269,21179443
-78.2826,-94.6795,21180088
-79.3027,-110.311,21180138
-79.0094,-110.522,21181513
-79.3816,-110.248,21181584
-79.2423,-110.371,21181600
-78.8474,-105.074,21182274
-78.2655,-94.7535,21182568
-78.1672,-94.4325,21183110
-78.1275,-94.0256,21183133
-79.24,-110.351,21183167
-78.2385,-94.2549,21183821
-79.2877,-110.298,21184399
-79.3371,-110.255,21184776
-78.2889,-94.7231,21185204
-79.4097,-110.188,21185311
-79.1833,-110.392,21185847
-79.6703,-109.897,21186614
-79.3469,-110.292,21187491
-79.4821,-110.155,21187514
-79.5255,-110.107,21187594
-78.2921,-96.1633,21188178
-79.3658,-110.292,21188284
-79.5091,-110.15,21188857
-78.2323,-95.5715,21189069
-79.4727,-110.197,21189795
-79.2309,-110.422,21189796
-79.2571,-110.402,21190434
-78.2831,-96.2127,21190505
-78.3238,-95.3807,21191017
-79.3389,-110.33,21191392
-79.4976,-110.167,21192028
-76.5947,-108.947,21192551
-79.3126,-110.363,21193146
-76.9241,-109.47,21193147
-79.4569,-110.224,21193291
-79.1807,-110.484,21193986
-79.219,-110.457,21194066
-78.2021,-94.5158,21194560
-78.2969,-95.5071,21194607
-78.2556,-95.6038,21194631
-79.2844,-110.446,21196065
-79.334,-110.402,21196803
-79.489,-110.242,21197606
-79.5255,-111.377,21198145
-79.4211,-110.311,21198165
-79.1756,-110.52,21198763
-79.477,-110.249,21198764
-79.2808,-110.441,21199381
-78.3362,-95.4814,21199403
-79.361,-110.375,21199722
-79.2435,-110.489,21200310
-77.2791,-100.992,21200311
-79.4143,-110.337,21200376
-79.381,-110.386,21200929
-79.0485,-110.636,21200930
-79.1926,-110.566,21201558
-79.1926,-110.566,21201559
-79.2575,-110.527,21201831
-79.2968,-110.513,21202388
-79.308,-110.509,21202582
-79.3648,-110.473,21203055
-79.3346,-110.5,21203056
-78.3873,-96.1775,21203077
-78.1786,-94.7221,21203755
-79.4949,-110.359,21203756
-79.5318,-110.318,21203785
-79.5018,-110.352,21203786
-78.2825,-94.4553,21203959
-79.4556,-111.609,21204897
-81.6473,-102.913,21204945
-78.3273,-94.9546,21205496
-78.2697,-94.525,21205521
-80.8964,-97.1896,21205642
-81.7685,-102.004,21206358
-78.2562,-95.7984,21206378
-79.5533,-110.392,21207131
-78.2399,-95.2154,21207659
-78.216,-94.7067,21207892
-78.3062,-95.7177,21208474
-79.6416,-110.296,21208594
-78.2918,-95.1067,21209101
-79.2362,-110.7,21209124
-79.4234,-110.525,21209775
-79.4443,-110.486,21210663
-79.4378,-110.49,21210753
-79.0949,-110.754,21211271
-79.1315,-111.821,21211366
-78.1507,-94.4099,21211885
-79.2267,-110.663,21211886
-78.1934,-94.8098,21211909
-79.3229,-110.586,21211910
-79.2481,-110.647,21211993
-79.4506,-110.472,21212744
-79.4575,-110.465,21212771
-79.6225,-110.285,21213369
-79.459,-110.49,21214075
-79.3387,-110.605,21214076
-79.2368,-110.69,21214167
-78.4726,-95.3622,21215035
-79.4429,-110.548,21215627
-79.1806,-105.047,21215673
-79.4459,-110.56,21216247
-79.2982,-110.696,21216270
-79.4188,-110.588,21216271
-79.4886,-110.537,21217102
-78.2905,-94.6458,21217103
-79.6945,-110.302,21217784
-78.3776,-95.6752,21217785
-79.6442,-110.37,21217833
-79.4598,-110.592,21218412
-78.2327,-94.3053,21218465
-79.2555,-110.784,21219285
-79.2727,-111.894,21219355
-79.3999,-110.671,21219878
-79.4802,-110.592,21219900
-79.2449,-110.811,21220551
-79.3356,-110.74,21220552
-79.3534,-110.724,21220529
-78.3036,-95.8973,21220530
-79.2893,-110.802,21221411
-79.4224,-110.687,21221431
-78.3275,-95.205,21221432
-79.2605,-110.828,21221531
-79.5881,-110.535,21222012
-79.5782,-110.548,21222040
-79.5485,-110.586,21222116
-79.2121,-110.928,21222997
-79.1786,-111,21224211
-79.281,-112.086,21224847
-78.2811,-95.3947,21225140
-81.9378,-103.912,21225741
-78.2961,-95.3672,21225742
-79.3728,-110.878,21225847
-78.2998,-95.3665,21226360
-78.1958,-95.0425,21226378
-79.2826,-110.949,21226379
-78.1957,-95.0443,21226512
-79.284,-110.947,21227871
-79.2121,-111.006,21228529
-79.6347,-110.612,21228530
-79.6747,-110.563,21228602
-79.4079,-110.865,21229139
-78.4291,-96.5041,21229140
-79.4159,-110.858,21229169
-79.4096,-110.869,21229377
-78.3149,-94.8053,21229902
-79.5773,-110.715,21230019
-79.6073,-110.68,21230020
-79.2977,-110.994,21230681
-79.2674,-111.031,21231340
-79.7313,-110.575,21232156
-79.4136,-110.932,21232173
-78.418,-95.8276,21232174
-78.2589,-94.9923,21232244
-78.2287,-94.1086,21232843
-79.2975,-112.191,21233367
-78.364,-95.3252,21233368
-79.527,-110.848,21233386
-78.3714,-95.3062,21233387
-78.299,-94.9148,21233509
-78.2423,-94.5607,21234259
-78.2909,-94.9496,21234281
-78.2226,-94.6211,21234867
-79.3163,-111.073,21235455
-78.297,-94.9547,21235456
-79.4538,-110.956,21235479
-79.4538,-110.956,21235480
-79.3815,-111.024,21235795
-78.2875,-94.9938,21236317
-79.3308,-111.07,21236346
-78.4988,-96.4653,21236454
-79.3183,-111.084,21236975
-79.3183,-111.084,21236976
-79.5702,-110.857,21237634
-78.349,-95.4523,21238573
-78.1722,-94.8184,21239955
-78.2158,-94.7227,21240251
-79.4918,-110.993,21240899
-78.3019,-95.0293,21240965
-79.1566,-112.355,21241320
-78.3255,-96.1978,21241559
-79.4475,-111.032,21242245
-79.2987,-111.14,21243215
-78.2739,-96.3241,21243831
-78.2758,-96.3206,21243854
-78.2573,-95.1745,21244477
-78.0394,-112.083,21244478
-79.2264,-111.158,21245476
-79.2566,-111.138,21245477
-78.9353,-111.298,21246173
-79.1773,-111.206,21247124
-78.9349,-111.311,21247125
-79.3979,-111.054,21247453
-78.2503,-95.2398,21248401
-79.2979,-111.155,21248794
-78.3273,-95.6364,21249140
-79.4718,-111.023,21249978
-79.3431,-111.133,21251104
-79.3306,-111.142,21251175
-79.4766,-111.008,21252177
-79.3728,-111.088,21253265
-79.3967,-111.06,21254243
-79.3662,-111.085,21254304
-79.233,-111.181,21255012
-79.3925,-111.063,21255108
-79.4183,-111.045,21255901
-78.5437,-97.4781,21256757
-79.503,-111.001,21258044
-76.5781,-109.382,21258217
-79.3737,-111.134,21258940
-79.313,-111.184,21259165
-79.2959,-111.205,21260039
-79.2938,-111.208,21260191
-78.2563,-94.8512,21260911
-79.3103,-111.197,21261022
-79.2082,-111.263,21261645
-78.4148,-96.952,21262084
-79.2883,-111.205,21262800
-78.383,-95.0567,21262922
-79.4575,-111.066,21263697
-79.4982,-111.032,21264509
-79.4807,-111.054,21264895
-79.6532,-110.883,21265752
-79.5276,-111.034,21266385
-79.4158,-111.156,21267210
-79.4458,-111.13,21267211
-79.3564,-111.212,21267604
-79.3032,-111.261,21268167
-78.3924,-96.3348,21268168
-78.3485,-95.7914,21268254
-79.2613,-111.296,21268927
-78.2847,-95.3824,21269037
-79.3062,-111.267,21269676
-79.3548,-111.23,21270056
-79.4242,-111.171,21270758
-79.5285,-111.07,21271328
-78.3739,-95.1902,21271349
-79.3225,-111.248,21271350
-79.5433,-111.055,21271441
-79.4816,-111.112,21272081
-79.7223,-110.845,21272383
-78.3241,-95.3366,21273026
-79.6429,-110.943,21273133
-79.3172,-111.252,21273620
-79.2361,-112.375,21274481
-79.4529,-111.158,21274969
-78.3851,-95.794,21275734
-79.3693,-111.238,21275735
-79.2727,-111.309,21275808
-79.3477,-111.268,21276660
-79.3896,-111.237,21276749
-79.6135,-111.035,21277437
-79.655,-110.988,21277458
-79.389,-111.257,21277884
-79.4066,-111.258,21278804
-79.4692,-111.214,21279462
-79.7268,-110.937,21279543
-79.0544,-111.491,21280355
-78.4289,-95.1151,21325736
-78.4471,-95.5993,21326583
-78.3772,-95.2703,21327322
-79.4322,-112.849,21327947
-78.3608,-95.3204,21328799
-78.3639,-95.818,21328800
-78.5325,-95.3873,21330939
-79.4621,-112.758,21334869
-78.3354,-94.5742,21338075
-78.3719,-95.3663,21339444
-79.9134,-112.502,21342983
-78.4357,-95.2425,21344362
-79.3596,-106.205,21345032
-80.0177,-112.459,21347788
-78.3861,-95.4012,21347789
-80.3574,-111.966,21351314
-78.3377,-94.6889,21352376
-79.2103,-106.509,21352538
-78.3649,-96.0107,21353896
-79.0806,-106.711,21355667
-78.4195,-96.4749,21355668
-79.1615,-112.173,21356737
-79.2253,-106.551,21357325
-79.4481,-112.04,21358041
-78.3274,-96.1362,21358075
-79.8001,-111.707,21358389
-79.8154,-111.704,21358989
-78.4933,-95.2397,21359974
-81.7368,-107.404,21360474
-78.3987,-96.0256,21361266
-79.3729,-113.279,21361350
-78.4104,-95.4992,21362195
-78.4104,-95.4992,21362196
-81.7051,-105.514,21362248
-79.6933,-111.935,21363610
-79.4195,-112.173,21364355
-78.4651,-95.903,21364465
-79.1924,-106.705,21365257
-78.457,-95.9327,21365354
-79.4196,-113.261,21366651
-79.2943,-113.305,21367316
-78.4519,-95.9649,21367353
-78.978,-97.4614,21368092
-79.4211,-113.241,21368228
-78.3757,-95.2002,21369152
-78.3895,-95.1699,21369647
-78.3057,-95.3813,21370319
-79.3676,-113.277,21371068
-78.4261,-95.572,21372177
-79.697,-113.103,21372642
-78.5048,-95.3708,21373390
-79.5479,-113.235,21373444
-78.5375,-96.4185,21374168
-78.4679,-96.013,21374268
-78.5081,-95.927,21375550
-79.3883,-112.28,21376313
-78.5029,-95.4212,21376314
-78.5702,-96.3644,21376411
-79.3669,-113.381,21377039
-79.6952,-112.024,21377157
-79.4752,-113.32,21377830
-79.5624,-112.146,21377831
-79.2611,-112.344,21378288
-78.4354,-96.1528,21378885
-78.4569,-96.1017,21378945
-78.4603,-95.5834,21379653
-79.7341,-113.104,21379712
-79.2508,-112.332,21380544
-79.4931,-112.183,21380860
-79.3325,-112.296,21381276
-78.2636,-95.2312,21382265
-79.741,-111.992,21383005
-78.4805,-96.0994,21383006
-78.393,-96.3116,21383480
-78.5206,-96.6004,21384191
-79.471,-112.295,21384927
-78.5496,-97.1991,21384928
-78.4665,-96.1661,21384983
-79.1967,-112.467,21385699
-79.6775,-112.132,21385700
-79.2134,-112.466,21386168
-78.4064,-96.3312,21386755
-78.3076,-95.604,21386885
-79.3699,-113.474,21387506
-79.405,-112.375,21387530
-78.3212,-95.5845,21387637
-79.2592,-112.455,21388241
-78.4518,-96.8159,21388267
-79.4406,-112.347,21388658
-79.327,-113.476,21389357
-78.388,-95.4575,21389949
-79.346,-113.463,21390013
-79.5593,-112.248,21390014
-79.6267,-112.185,21390790
-78.5074,-96.7212,21390791
-79.4463,-112.333,21390762
-79.4346,-112.342,21391174
-79.4348,-112.344,21391790
-78.4302,-96.3428,21391843
-78.4239,-96.3668,21392597
-79.4094,-112.364,21392598
-78.3763,-95.9722,21392623
-78.4965,-96.771,21392624
-79.5553,-112.256,21392744
-79.3421,-112.415,21393730
-78.4545,-96.3235,21394313
-79.2891,-112.45,21394314
-79.405,-112.384,21394334
-78.4554,-96.8888,21394370
-79.3036,-112.45,21394792
-78.4134,-96.429,21395125
-79.2468,-112.484,21395126
-79.1546,-112.537,21395895
-77.3948,-99.308,21395918
-78.4461,-96.9404,21396291
-78.3638,-95.6224,21396897
-78.4833,-96.3006,21396925
-79.326,-112.522,21397667
-79.5363,-112.422,21398874
-78.4442,-95.9287,21399371
-79.3604,-112.563,21399548
-79.6902,-112.306,21399549
-79.453,-113.617,21400380
-78.465,-95.9047,21401057
-78.5166,-96.2908,21401058
-79.6149,-112.433,21402292
-79.6236,-112.432,21402903
-78.4538,-95.9606,21402938
-78.4947,-95.8654,21403697
-79.555,-113.616,21404739
-78.4578,-95.9872,21405489
-79.3426,-112.662,21405600
-79.1259,-112.756,21406308
-79.3575,-112.668,21406674
-78.4316,-96.0777,21407368
-78.4137,-96.6191,21407369
-79.6826,-112.432,21407406
-78.4159,-96.1253,21408085
-79.8606,-113.436,21408903
-79.0627,-112.812,21408904
-79.277,-112.753,21409287
-79.4664,-113.755,21409984
-78.4851,-97.0689,21409985
-77.2641,-98.5761,21410079
-79.4359,-112.701,21410648
-79.5468,-113.754,21411494
-78.4118,-96.6844,21411495
-78.5641,-96.9273,21412588
-78.5499,-96.9625,21412645
-79.2304,-112.85,21413301
-78.544,-97.637,21413393
-79.2831,-112.83,21414141
-79.2529,-112.843,21414142
-79.3921,-112.774,21414499
-79.5399,-112.675,21415988
-78.4068,-96.2555,21416095
-79.111,-112.894,21416750
-79.6821,-112.561,21416751
-79.2116,-112.89,21417683
-78.3859,-96.326,21417798
-79.3772,-112.847,21418602
-79.5544,-112.763,21419405
-79.5544,-112.763,21419406
-79.6251,-113.847,21419834
-79.6035,-112.749,21420490
-79.6035,-112.749,21420491
-79.6063,-112.748,21420618
-79.621,-112.748,21421245
-77.1874,-104.413,21421246
-81.7537,-106.324,21421327
-79.6098,-112.773,21422071
-79.6398,-112.747,21422072
-78.6141,-96.9567,21423126
-79.6657,-112.745,21423227
-77.3645,-107.332,21423869
-79.681,-112.744,21423870
-79.7131,-112.715,21423966
-79.6936,-112.742,21424453
-79.6985,-112.742,21424663
-79.6985,-112.742,21424664
-79.0806,-104.489,21425725
-79.3327,-113.034,21426445
-79.5186,-112.926,21426473
-79.5789,-112.881,21426474
-79.4028,-112.999,21426496
-76.3188,-110.031,21427286
-79.5792,-112.901,21427287
-78.602,-97.7142,21427400
-78.7063,-96.152,21428238
-78.4548,-97.4047,21429145
-79.2599,-113.143,21429846
-79.4112,-113.073,21429847
-79.3949,-113.086,21430227
-79.5809,-112.97,21430791
-79.3242,-113.127,21430869
-79.4451,-113.064,21430870
-78.6677,-98.3772,21431246
-79.4465,-113.066,21431633
-79.5625,-112.988,21432398
-79.3091,-113.14,21433542
-79.4791,-113.057,21434139
-79.4489,-113.075,21434140
-80.0337,-112.494,21434191
-76.9079,-111.318,21434843
-79.4016,-113.127,21435159
-79.2949,-113.224,21436502
-79.2949,-113.224,21436503
-79.3487,-113.206,21436628
-79.5681,-113.096,21437202
-79.5681,-113.096,21437203
-81.9427,-105.522,21437611
-78.5334,-96.7936,21437979
-79.6577,-113.047,21438226
-79.9493,-96.8782,21438954
-79.2371,-113.288,21438955
-79.2685,-113.267,21439622
-79.3593,-113.229,21439623
-78.5003,-98.0856,21439170
-79.4511,-113.156,21441008
-79.4511,-113.156,21441009
-78.6043,-97.8957,21441126
-79.6677,-112.985,21441706
-79.6677,-112.985,21441707
-79.2258,-113.245,21441732
-78.6489,-97.7981,21441733
-79.4017,-113.161,21442713
-79.2263,-113.235,21442733
-78.5149,-96.8855,21442734
-78.5221,-96.8699,21442849
-80.9961,-101.505,21443441
-81.805,-106.385,21443442
-79.4133,-113.16,21444135
-78.6425,-97.8375,21444136
-79.3062,-113.212,21444163
-78.4791,-97.5445,21444453
-78.5402,-97.4276,21445134
-78.5233,-97.464,21445158
-78.5396,-96.8654,21445865
-79.4528,-113.164,21445883
-78.5933,-97.97,21445884
-78.5873,-97.9835,21445950
-82.1214,-103.964,21446930
-78.363,-97.2422,21447482
-79.7135,-112.991,21447559
-79.3977,-113.234,21448966
-79.5943,-113.112,21449382
-78.5124,-98.1837,21449945
-78.2186,-97.0119,21449997
-79.8375,-95.653,21450589
-79.401,-113.246,21450590
-79.5958,-113.121,21450625
-79.4954,-113.197,21451264
-78.6363,-97.2856,21451265
-79.4173,-113.243,21451291
-79.2365,-113.321,21451292
-79.6241,-113.113,21452287
-79.6541,-113.089,21452288
-79.7005,-113.049,21452396
-79.8393,-112.912,21452713
-80.6658,-98.2147,21452957
-79.9535,-97.0917,21453045
-79.6196,-113.128,21453602
-79.6796,-113.078,21453603
-81.1421,-100.522,21453630
-78.5977,-96.8285,21453631
-79.4726,-113.239,21454569
-78.5945,-96.8493,21454570
-79.4859,-113.231,21454593
-79.3454,-113.313,21455394
-79.3891,-113.293,21455483
-79.7844,-114.145,21456040
-79.7438,-113.042,21456041
-78.488,-97.6792,21456297
-78.0446,-97.7017,21457013
-79.6698,-113.123,21457014
-79.5677,-113.204,21457033
-78.6561,-97.9785,21457034
-79.2093,-113.394,21457797
-79.3509,-113.357,21458470
-79.2241,-113.412,21458795
-79.2715,-113.399,21458910
-79.5804,-114.351,21459423
-79.2777,-113.409,21459424
-82.2224,-103.263,21459717
-78.5373,-97.0755,21460845
-78.5601,-97.5957,21460846
-79.465,-113.351,21460872
-79.5252,-113.314,21460873
-78.4596,-96.7559,21461838
-78.4961,-97.1788,21461839
-79.3532,-114.483,21461816
-78.5602,-97.6097,21461962
-79.5932,-113.278,21462522
-78.6079,-96.3958,21462582
-78.4666,-98.4234,21462583
-79.2904,-113.443,21463296
-79.2302,-113.463,21463297
-79.7971,-96.2787,21463510
-79.0703,-113.491,21464507
-79.3716,-113.406,21464508
-79.5288,-113.317,21465282
-76.9287,-111.538,21465283
-78.6678,-98.8102,21465425
-79.4473,-113.369,21466112
-81.0251,-101.717,21466113
