McMurdo Station,-77.85,166.666667
WAIS Divide,-79.466667,-112.066667
Scott Base,-77.849583,166.768306
Aboa,-73.05,-13.416667
Almirante Brown,-64.895306,-62.8705
Amundsen Scott,-90,0
Bharati,-69.407778,76.187222
Maitri Station,-70.766028,11.732278
Dakshin Gangotri,-70.093611,12
Artigas Base,-62.184278,-58.903306
Belgrano II,-77.874389,-34.620806
Camara Base,-62.594722,-59.918889
Casey Station,-66.282111,110.525528
Concordia Station,-75.1,123.333333
Davis Station,-68.576472,77.969222
Dome F,-77.316944,39.703333
Dumont d'Urville Station,-66.663139,140.001472
Halley Research Station,-75.583333,-26.566667
Jang Bogo Station,-74.616667,164.201389
Maitri,-70.766028,11.732278
Mawson Station,-67.602806,62.873
Mirny Station,-66.552889,93.009667
Molodyozhnaya Station,-67.665833,45.842556
Neumayer-Station III,-70.668889,-8.267208
Novolazarevskaya Station,-70.822528,11.644472
Princess Elisabeth Antarctica,-71.57,23.2
Showa Station,-69.004333,39.58025
Svea Research Station,-74.576111,-11.225278
Taishan Station,-73.85,76.966667
Troll,-72.012083,2.532222
Wasa Research Station,-73.05,-13.416667
Vostok Station,-78.464389,106.837222
